id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1673842,"Comfortable, Cozy n Private Studio",4833726,Dustin,,King,45.56196911852262,-122.66428446570744,Entire home/apt,95,1,91,2015-12-08,5.08,2,365
3263049,Private Loft ideal location,15190073,Nina And Donald,,King,45.562410237744835,-122.66263010203794,Private room,75,2,62,2015-12-02,3.62,1,301
7367231,Beautiful Alberta Home sleeps 4-6,30415706,Mark & Kylee,,King,45.5609369453157,-122.65461731911908,Entire home/apt,230,3,7,2015-09-21,1.39,1,142
3761821,Alberta Arts NE; Modern Single Room,2200710,Laurent,,King,45.557845494577954,-122.66052079300009,Private room,30,1,120,2015-12-30,7.26,3,347
9136059,Alberta Arts Bungalow,47581636,El,,King,45.55595249337179,-122.65766200590058,Entire home/apt,95,3,2,2015-12-30,1.87,1,60
1386231,Cozy Basement Alberta Arts Room,2236909,Shane,,King,45.56265388005194,-122.65644872476294,Private room,42,6,22,2015-10-25,0.76,6,363
4142533,"City Cabin By Mississippi, Williams",9860559,Tracy,,King,45.55134468596366,-122.6638797919343,Entire home/apt,109,1,149,2015-12-23,9.70,1,56
6481776,Beautiful Bungalow in Hot Inner NE,27868709,,,King,45.550593569131394,-122.65987162921043,Entire home/apt,235,2,15,2015-10-25,2.23,1,365
8636507,Brand New Backyard Bungalow Alberta,44452439,Casita De Suenos,,King,45.557309010607796,-122.65508030870441,Entire home/apt,135,1,1,2015-11-07,0.54,1,288
7557383,Classic Bungalow Retreat- Inner NE,15744884,,,King,45.56506808923396,-122.65716235430499,Entire home/apt,145,2,3,2015-11-28,0.72,1,134
967959,Authentic Alberta Arts Abode,1507209,Penelope,,King,45.558053625091354,-122.65608033508731,Entire home/apt,115,1,201,2015-12-29,6.49,1,348
7718188,Alberta Arts District/King House,40553377,Kelsey,,King,45.55619364256241,-122.65708548018519,Private room,59,1,13,2015-11-20,3.07,1,135
5407431,Quaint 1BR in hip cool NEPO,27930414,Timothy,,King,45.55106423919697,-122.6621680219694,Private room,72,1,87,2015-12-25,8.94,3,331
7580440,Alberta Garden Oasis,963194,Carolyn,,King,45.55720947400508,-122.65245959522623,Entire home/apt,90,2,15,2015-11-21,3.19,2,365
4283250,A Cozy Patch of Blue,22236562,,,King,45.56435369108067,-122.66144258891516,Entire home/apt,60,1,55,2015-12-18,4.62,1,90
7718000,Cozy Victorian in heart of PDX,29765852,Tanya,,King,45.55160742476377,-122.6645955531479,Entire home/apt,130,1,4,2015-10-10,1.03,2,123
1045944,Alberta Arts Master Bedroom,2236909,Shane,,King,45.55929460753337,-122.65858514070347,Private room,35,3,16,2015-11-17,0.50,6,40
